time_tick,accr_X_value,accr_Y_value,accr_Z_value
23.137729,2.987468,4.003853,0.000000
23.171120,3.003191,3.985619,0.000000
23.204410,2.963863,3.999238,0.000000
23.237720,2.995241,3.981668,0.000000
23.271060,2.973139,3.981907,0.000000
23.304413,2.999831,3.994331,0.000000
23.337757,2.997509,4.000060,0.000000
23.371074,3.009052,4.012114,0.000000
23.404391,3.007399,4.010814,0.000000
23.437762,2.975345,3.973514,0.000000
23.471132,2.960407,3.971426,0.000000
23.504390,2.957921,4.019438,0.000000
23.537754,2.954690,4.015509,0.000000
23.570965,2.972374,4.013991,0.000000
23.604438,2.991587,4.002869,0.000000
23.637758,2.992434,3.980282,0.000000
23.671067,2.996095,3.979753,0.000000
23.704451,2.980372,3.988554,0.000000
23.737793,2.973890,4.005075,0.000000
23.771098,2.928271,3.956688,0.000000
23.804479,2.991136,3.996700,0.000000
23.837730,2.976335,3.952544,0.000000
23.871049,3.028074,3.959968,0.000000
23.904406,2.993861,4.032453,0.000000
23.937782,3.016169,4.123659,0.000000
23.971097,2.959417,3.929853,0.000000
24.004457,2.894707,3.974072,0.000000
24.037746,2.959417,4.034123,0.000000
24.071059,2.970345,4.021632,0.000000
24.104395,3.005261,3.985561,0.000000
24.137766,3.026032,3.956904,0.000000
24.171049,2.985385,3.989198,0.000000
24.204455,2.984627,4.017774,0.000000
24.237749,2.933605,4.032375,0.000000
24.271136,2.929514,3.962668,0.000000
24.304383,2.941528,3.996417,0.000000
24.337535,2.977175,4.033568,0.000000
24.371108,3.028511,3.998872,0.000000
24.404251,3.025260,4.005603,0.000000
24.437716,2.989135,4.015736,0.000000
24.471088,2.994729,4.031969,0.000000
24.504393,2.948523,3.975258,0.000000
24.537735,2.880173,3.963875,0.000000
24.571047,3.027876,3.994091,0.000000
24.604409,2.995596,4.023276,0.000000
24.637746,2.965441,3.962367,0.000000
24.671106,2.991648,4.046350,0.000000
24.704384,2.940811,4.007037,0.000000
24.737716,2.982824,4.016077,0.000000
24.771071,2.948666,3.992071,0.000000
24.804389,2.980857,3.924601,0.000000
24.837709,3.013252,4.030258,0.000000
24.871065,3.022774,4.074365,0.000000
24.904385,2.979634,3.958709,0.000000
24.937729,2.926454,3.996470,0.000000
24.971050,3.025499,4.030650,0.000000
25.004423,3.008034,4.040771,0.000000
25.037732,3.041618,3.978243,0.000000
25.071054,3.006647,3.973476,0.000000
25.104473,2.987093,3.995502,0.000000
25.137736,3.012207,4.057291,0.000000
