ts,Seconds,X,Y,Z,profile,Activity,
1/8/2020 17:09,0.101,0.055038452,4.675583,8.841476,AR,laying,
1/8/2020 17:09,0.099,0.19142151,4.589432,8.8367,AR,laying,
1/8/2020 17:09,0.1,0.1603241,4.6588287,8.7960205,AR,laying,
1/8/2020 17:09,0.1,0.13877869,4.713867,8.652451,AR,laying,
1/8/2020 17:09,0.101,-0.35891724,4.8095703,8.958725,AR,laying,
1/8/2020 17:09,0.099,-0.38046265,5.252243,8.494522,AR,laying,
1/8/2020 17:09,0.1,2.651245,4.1276245,7.975281,AR,laying,
1/8/2020 17:09,0.101,1.8927155,3.797409,10.061813,AR,laying,
1/8/2020 17:09,0.099,2.0554352,4.5009003,8.781662,AR,laying,
1/8/2020 17:09,0.1,2.0530396,4.2998962,8.432312,AR,laying,
1/8/2020 17:09,0.1,2.1272125,4.462616,8.303101,AR,laying,
1/8/2020 17:09,0.101,2.0554352,4.2711945,8.537598,AR,laying,
1/8/2020 17:09,0.099,1.7778625,4.371689,9.085556,AR,laying,
1/8/2020 17:09,0.1,1.8831482,4.2065887,8.944366,AR,laying,
1/8/2020 17:09,0.101,2.009964,4.1156616,8.839081,AR,laying,
1/8/2020 17:09,0.1,1.4644012,4.23291,8.504089,AR,laying,
1/8/2020 17:09,0.099,1.3423767,4.713867,8.118851,AR,laying,
1/8/2020 17:09,0.101,0.9690857,4.197006,9.501892,AR,laying,
1/8/2020 17:09,0.099,1.3830566,4.3501587,8.992233,AR,laying,
1/8/2020 17:09,0.101,1.2012024,4.268799,8.961121,AR,laying,
1/8/2020 17:09,0.099,1.1772614,4.244873,8.822342,AR,laying,
1/8/2020 17:09,0.101,1.2658081,4.134796,9.312866,AR,laying,
1/8/2020 17:09,0.099,1.2155609,4.2998962,8.635696,AR,laying,
1/8/2020 17:09,0.1,1.1700897,4.072586,8.415558,AR,laying,
1/8/2020 17:09,0.1,1.2370911,4.565506,8.647659,AR,laying,
1/8/2020 17:09,0.1,0.9667053,4.2927246,8.855835,AR,laying,
1/8/2020 17:09,0.1,1.3663025,4.261612,8.894119,AR,laying,
1/8/2020 17:09,0.1,1.2418823,4.208969,8.999405,AR,laying,
1/8/2020 17:09,0.1,1.2610168,4.2424774,8.863022,AR,laying,
1/8/2020 17:09,0.101,1.0552368,4.342972,8.855835,AR,laying,
1/8/2020 17:09,0.099,0.92362976,4.2424774,9.676575,AR,laying,
1/8/2020 17:09,0.101,1.4763641,4.118042,9.255432,AR,laying,
1/8/2020 17:09,0.1,1.8424683,3.8165588,8.508881,AR,laying,
1/8/2020 17:09,0.1,-0.18424988,4.4817505,8.894119,AR,laying,
1/8/2020 17:09,0.1,-0.928421,5.144562,8.054245,AR,laying,
